x_value,total_1,total_2
1665,2603,1844
1666,2605,1847
1667,2605,1850
1668,2602,1850
1669,2609,1846
1670,2612,1852
1671,2612,1853
1672,2613,1850
1673,2609,1855
1674,2607,1859
1675,2609,1854
1676,2603,1853
1677,2606,1857
1678,2610,1854
1679,2618,1852
1680,2620,1853
1681,2619,1859
1682,2616,1862
1683,2610,1866
1684,2608,1864
1685,2613,1859
1686,2613,1859
1687,2618,1855
1688,2618,1859
1689,2624,1862
1690,2618,1857
1691,2619,1863
1692,2615,1869
1693,2614,1865
1694,2615,1867
1695,2621,1870
1696,2615,1873
1697,2609,1869
1698,2606,1865
1699,2608,1865
1700,2608,1862
1701,2614,1867
1702,2615,1869
1703,2609,1875
1704,2616,1880
1705,2623,1876
1706,2621,1871
1707,2621,1871
1708,2615,1869
1709,2623,1870
1710,2631,1870
1711,2631,1865
1712,2630,1861
1713,2628,1863
1714,2628,1859
1715,2632,1864
1716,2630,1864
1717,2629,1863
1718,2625,1861
1719,2623,1857
1720,2617,1857
1721,2621,1861
1722,2616,1867
1723,2616,1866
1724,2610,1865
1725,2604,1870
1726,2605,1874
1727,2607,1875
1728,2610,1874
1729,2608,1871
1730,2614,1876
1731,2609,1873
1732,2607,1879
1733,2603,1875
1734,2600,1880
1735,2594,1877
1736,2593,1875
1737,2597,1871
1738,2604,1871
1739,2610,1868
1740,2618,1872
1741,2613,1867
1742,2614,1863
1743,2621,1858
1744,2615,1860
1745,2621,1863
1746,2624,1867
1747,2624,1863
1748,2623,1862
1749,2621,1861
1750,2627,1865
1751,2629,1860
1752,2632,1863
1753,2637,1866
1754,2644,1861
1755,2651,1859
1756,2658,1863
1757,2661,1859
1758,2656,1865
1759,2655,1861
1760,2650,1857
1761,2653,1855
1762,2661,1853
1763,2656,1854
1764,2652,1852
1765,2647,1852
1766,2655,1847
1767,2661,1852
1768,2661,1849
1769,2666,1855
1770,2667,1850
1771,2664,1856
1772,2659,1857
1773,2656,1859
1774,2656,1855
1775,2660,1859
1776,2663,1863
1777,2661,1866
1778,2655,1867
1779,2653,1866
1780,2659,1862
1781,2662,1861
1782,2670,1865
1783,2674,1871
1784,2677,1877
1785,2684,1872
1786,2688,1872
1787,2689,1870
1788,2691,1875
1789,2689,1871
1790,2692,1868
1791,2693,1873
1792,2700,1868
1793,2698,1868
1794,2696,1868
1795,2700,1874
1796,2696,1876
1797,2692,1874
1798,2688,1879
1799,2689,1876
1800,2687,1878
1801,2688,1878
1802,2683,1878
1803,2683,1876
1804,2681,1878
